node,Capability_1,Capability_2,stress,stability,Change_M_NPK_20,Change_G_NPK_20,Mean_Impact,Dissonance,Stability_M_G_NPK_20,SI_Score
BENGALURU,3391,80,0.038778854439341336,0.9612211455606586,0.17783952761375477,0.1267605633802817,0.15230004549701823,0.05107896423347308,0.9612211455606586,0.1492742689640747
BENGALURU(R),46132,218,0.01326895469936021,0.9867310453006398,0.08334311814573891,0.05825242718446602,0.07079777266510247,0.025090690961272893,0.9867310453006398,0.07744672313006105
RAMANAGARA,10709,4917,0.08958273132482733,0.9104172686751727,0.024784688995215312,0.018012422360248446,0.021398555677731877,0.006772266634966866,0.9104172686751727,0.022157969197292106
CHITRADURGA,284719,70915,0.1960651255148544,0.8039348744851456,0.046857247908815146,0.034123222748815164,0.040490235328815155,0.012734025159999982,0.8039348744851456,0.036384747919338586
DAVANAGERE,623589,17203,0.8657989628446122,0.13420103715538778,0.05061966762363026,0.03682497589199614,0.043722321757813196,0.01379469173163412,0.13420103715538778,0.006543052031269253
KOLAR,2017,6430,0.15265783608500882,0.8473421639149912,0.14667424673109722,0.10671256454388985,0.12669340563749354,0.03996168218720737,0.8473421639149912,0.1110206867582848
CHIKKABALLAPURA,115072,7603,0.14731169606210875,0.8526883039378912,0.09082291380307325,0.06604038137969714,0.0784316475913852,0.024782532423376108,0.8526883039378912,0.07232922905081304
SHIVAMOGGA,238722,257,0.010149362064862022,0.989850637935138,0.05381138205639821,0.036290322580645164,0.045050852318521684,0.017521059475753047,0.989850637935138,0.05133221844657513
TUMAKURU,70078,41011,0.12418312144026548,0.8758168785597346,0.048005024825028414,0.034951799323676376,0.04147841207435239,0.013053225501352038,0.8758168785597346,0.04057411114301375
CHIKKAMAGALURU,70887,4351,0.31372952244615293,0.6862704775538471,0.1553958241650775,0.11307239703248913,0.13423411059878332,0.04232342713258837,0.6862704775538471,0.09458512277195616
DAKSHINA KANNADA,0,0,0.22318608329470238,0.7768139167052976,,,,,0.7768139167052976,
UDUPI,111,3688,0.163309702909441,0.836690297090559,0.01834862385321101,0.017940932928512284,0.01814477839086165,0.00040769092469872606,0.836690297090559,0.015076684267679271
HASSAN,353854,543,0.6221074932002667,0.3778925067997333,0.0596429865513555,0.04222648752399232,0.05093473703767391,0.017416499027363176,0.3778925067997333,0.021586910197229064
KODAGU,22034,52,0.2926169437972346,0.7073830562027654,0.22950728195971207,0.15555555555555556,0.1925314187576338,0.07395172640415651,0.7073830562027654,0.13709518613935856
MANDYA,21080,1085,0.2548725082711571,0.7451274917288429,0.08732655903440449,0.06268364348677767,0.07500510126059108,0.02464291554762682,0.7451274917288429,0.060990631576050953
MYSURU,145272,2263,0.0,1.0,0.05918894089855199,0.04285714285714286,0.051023041877847425,0.016331798041409135,1.0,0.05665227200289977
CHAMARAJANAGAR,156407,9239,0.19307239029099507,0.8069276097090049,0.057618706300799266,0.04195331002593888,0.049786008163369075,0.01566539627486039,0.8069276097090049,0.044543542511424214
BELAGAVI,633204,42347,1.0,0.0,0.09786773655501961,0.07126233240576778,0.0845650344803937,0.026605404149251832,0.0,0.0
VIJAYAPURA,238507,28607,0.09660904693803062,0.9033909530619694,0.053815938884887796,0.03919645451903517,0.04650619670196148,0.014619484365852628,0.9033909530619694,0.04671122486228661
BAGALKOT,278515,27418,0.05932571648472515,0.9406742835152748,0.10653995446942578,0.07758214117277158,0.09206104782109868,0.0289578132966542,0.9406742835152748,0.09244416005904825
DHARAWAD,98171,22460,0.4376302653988339,0.5623697346011661,0.08315863803870512,0.0605345169515535,0.07184657749512931,0.022624121087151616,0.5623697346011661,0.04393494996445576
GADAG,145011,32409,0.24845541179650266,0.7515445882034973,0.047192293249371735,0.03437380314055917,0.04078304819496545,0.012818490108812565,0.7515445882034973,0.03424797305012239
HAVERI,438889,19128,0.5065944581206087,0.49340554187939134,0.06143361218127777,0.04473209896772079,0.05308285557449928,0.01670151321355698,0.49340554187939134,0.028955779427679077
UTTARA KANNADA,25286,3963,0.532312029048454,0.467687970951546,0.04973430753902358,0.03607843137254902,0.0429063694557863,0.01365587616647456,0.467687970951546,0.022420948109439936
BALLARI,113868,24516,0.29379574648270007,0.7062042535172999,0.09441107213225047,0.06877084377792794,0.08159095795508921,0.02564022835432253,0.7062042535172999,0.06208830781685522
BIDAR,3082,280,0.01229833006701298,0.987701669932987,0.10426370476531709,0.07279693486590039,0.08853031981560874,0.0314667698994167,0.987701669932987,0.09548470247143707
KALABURAGI,15451,3242,0.13118940340184038,0.8688105965981596,0.05676766295055058,0.04110468850353243,0.04893617572704151,0.015662974447018148,0.8688105965981596,0.04729304961048027
YADGIRI,3103,35126,0.16230478925751232,0.8376952107424877,0.1608679386457164,0.11741689199936377,0.1391424153225401,0.043451046646352645,0.8376952107424877,0.11893540080111173
RAICHUR,794,28911,0.3400718788106474,0.6599281211893526,0.09820193637621023,0.07244602715334965,0.08532398176477994,0.025755909222860585,0.6599281211893526,0.060111266241730424
KOPPAL,203107,31457,0.14025276209745444,0.8597472379025456,0.0675682778630448,0.04919618437729304,0.05838223112016892,0.018372093485751757,0.8597472379025456,0.055233753217446994
VIJAYANAGARA,113868,24516,0.38524208306623375,0.6147579169337662,0.09441107213225047,0.06877084377792794,0.08159095795508921,0.02564022835432253,0.6147579169337662,0.05404849742737687
