District,Rice_Production,Maize_Production,Groundnut_Production,TotalNPK,SowingSeedsDistributed_Maize,LivestockCensus_2012_Cattle,AreaUnderCereals_Maize,AreaUnderCereals_Paddy,NetAreaIrrigated_Canals_NetAreaIrrigated,AreaUnderOilSeeds_GroundNut,MotorVehicles_Tractors,LivestockCensus_2012_Sheep,NetAreaIrrigatedUnderDifferentSources_TubeWells_NetIrrigatedArea,Rice_Ratio,Maize_Ratio,Groundnut_Ratio,Admin_Zone
BENGALURU,3376.0,2879,71.0,23310.0,4.45,136582.0,1129.0,782.0,0,72,14638,77302,9348,0.02204302830465868,0.01879794978942901,0.0004635826450328099,Bengaluru Division
BENGALURU(R),2354.0,42583,206.0,19259.0,134.73,158820.0,14867.0,736.0,0,175,981,124870,20281,0.008714645342810603,0.15764475048126758,0.0007626240189545387,Bengaluru Division
RAMANAGARA,12128.0,10450,4830.0,7472.0,260.15,259897.0,1987.0,4468.0,7895,3307,11407,152938,23868,0.03451671476466135,0.029741067718561272,0.013746349959870905,Bengaluru Division
CHITRADURGA,4566.0,271975,68575.0,35884.0,5004.0,275889.0,92194.0,1297.0,1820,96711,18587,940038,92506,0.005100684336229604,0.3038236141800365,0.07660521865022889,Bengaluru Division
DAVANAGERE,489505.0,593544,16592.0,99644.0,6124.6,332075.0,173400.0,98259.0,84789,15279,32337,343178,78364,0.21273262368135368,0.2579466448561821,0.007210671376433378,Bengaluru Division
KOLAR,864.0,1759,5810.0,22190.0,51.5,229036.0,640.0,395.0,0,8608,16855,445100,20140,0.004887154250806041,0.009949657786073873,0.03286384976525822,Bengaluru Division
CHIKKABALLAPURA,2698.0,105491,7132.0,28357.0,3538.15,246339.0,59377.0,1333.0,0,19535,11411,432691,50370,0.0073929150773817355,0.2890607874084791,0.01954272436318997,Bengaluru Division
SHIVAMOGGA,384974.0,226532,248.0,56609.0,3814.02,568476.0,43827.0,109617.0,42502,438,17941,36791,32347,0.3130600392124016,0.18421534130321465,0.00020167307331060174,Bengaluru Division
TUMAKURU,26042.0,66868,39626.0,38148.0,1639.85,527067.0,24207.0,10379.0,4099,64771,26534,1061330,144708,0.02803718194130731,0.07199102534564693,0.042661906597275305,Bengaluru Division
CHIKKAMAGALURU,110533.0,61353,3909.0,67863.0,2923.79,337576.0,25831.0,33036.0,6210,5851,15882,91312,26174,0.21652885438521227,0.12018758925475585,0.007657543826656245,Mysuru Division
DAKSHINA KANNADA,132588.0,0,0.0,18588.0,0.0,253715.0,0.0,48689.0,0,0,7388,265,16589,0.47872271286313645,0.0,0.0,Mysuru Division
UDUPI,138156.0,109,3623.0,6148.0,0.0,252067.0,8.0,49608.0,0,1819,4328,70,699,0.4751760121342611,0.0003748963875809553,0.01246100561656698,Mysuru Division
HASSAN,143705.0,333937,521.0,68431.0,8925.33,606460.0,79058.0,42818.0,36097,862,23091,160685,23393,0.1071532962100221,0.2489993408474733,0.0003884824280673708,Mysuru Division
KODAGU,86303.0,17921,45.0,40947.0,246.41,88428.0,3448.0,28336.0,1226,63,6835,1401,106,0.413869666757782,0.0859409093306862,0.0002157993928843747,Mysuru Division
MANDYA,246543.0,19387,1021.0,60558.0,794.03,366740.0,4892.0,58487.0,90672,1361,11589,341774,16025,0.3042482430106067,0.023924673129014543,0.0012599727273288207,Mysuru Division
MYSURU,354227.0,137154,2170.0,62014.0,1573.43,549552.0,37283.0,93521.0,91797,2387,20112,218381,19842,0.2892520277536662,0.1119961849732695,0.0017719623298773264,Mysuru Division
CHAMARAJANAGAR,45856.0,147886,8867.0,23803.0,2054.6,262520.0,38569.0,13881.0,21040,12179,3685,128483,44070,0.09496119215062582,0.3062506730283376,0.01836228390613222,Mysuru Division
BELAGAVI,177552.0,576758,39530.0,179992.0,11883.58,592833.0,131163.0,61230.0,59908,37419,46442,788929,139708,0.08258958578219201,0.2682831188416098,0.018387662915484198,Belagavi Division
VIJAYAPURA,170.0,226327,27528.0,54228.0,2682.76,253025.0,40207.0,51.0,87422,24779,24819,309278,113515,0.00014433101724500955,0.19215297729418396,0.023371436721886015,Belagavi Division
BAGALKOT,85.0,251699,25444.0,84812.0,5678.15,279415.0,44300.0,32.0,2026,26333,24117,733600,117497,9.13447123769936e-05,0.27048673835972836,0.027343233667296764,Belagavi Division
DHARAWAD,33989.0,90634,21178.0,37381.0,2471.35,193781.0,30900.0,23909.0,15779,36152,14291,73982,20816,0.06468489214109677,0.17248670200112284,0.0403041173839815,Belagavi Division
GADAG,7258.0,138476,31332.0,23280.0,4111.0,142655.0,34163.0,1706.0,30537,41174,27940,259047,41664,0.012588324667080611,0.240173718186643,0.05434243434403,Belagavi Division
HAVERI,125422.0,413487,18309.0,65001.0,11325.6,284609.0,170696.0,44968.0,5134,17789,15690,254708,63016,0.10140863746545516,0.33432056002677885,0.014803549164859582,Belagavi Division
UTTARA KANNADA,152981.0,24088,3825.0,15316.0,1469.2,336955.0,4576.0,66147.0,0,1950,4638,4783,8460,0.42528154076676944,0.06696375206064768,0.010633359001659638,Belagavi Division
BALLARI,206115.5,104045,22938.5,61664.5,2859.005,172038.5,49869.5,46832.5,77607,49762,24001,756270,75198,0.2699903591479373,0.13628837674773192,0.030047103945675894,Kalaburagi Division
BIDAR,2036.0,2791,261.0,24658.0,24.55,234519.0,1382.0,1548.0,0,299,5256,88402,19908,0.007377747178084177,0.01011360136249162,0.0009457721087819108,Kalaburagi Division
KALABURAGI,7888.0,14621,3114.0,53999.0,165.0,473117.0,2634.0,4199.0,20864,3817,16351,100061,48802,0.007094545977838538,0.013150273420636063,0.002800762699669017,Kalaburagi Division
YADGIRI,224659.0,2673,31435.0,91389.0,0.0,310727.0,961.0,49358.0,91141,38840,9902,463482,22035,0.33900558322015995,0.0040334993209597105,0.04743473668326543,Kalaburagi Division
RAICHUR,492342.0,723,26958.0,117235.0,14.35,359124.0,2600.0,115246.0,111512,35960,25612,647549,26571,0.3575047815725383,0.0005249927023835975,0.01957503910215356,Kalaburagi Division
KOPPAL,243505.0,190252,29982.0,73552.0,5292.0,260408.0,48210.0,50753.0,37736,22274,16317,547061,82552,0.1913727629101266,0.14952075271217186,0.023563122636378782,Kalaburagi Division
VIJAYANAGARA,206115.5,104045,22938.5,61664.5,2859.005,172038.5,49869.5,46832.5,77607,49762,24001,756270,75198,0.2699903591479373,0.13628837674773192,0.030047103945675894,Kalaburagi Division
